발생위치,구,동,발생규모,파손개수,위도,경도,연도,월,일,일최대기온,일최저기온,일평균기온,일최대습도,일최저습도,일평균습도,일총강수량,인구수,포트홀 위험 지수,osmid,pagerank,kmeans_cluster
대구 남구 대명동 2321-1,남구,대명동,0.16,4,35.85462803,128.5906419,2022,1,5,4.7,-0.7,2.8166666666666664,57.0,31.0,41.16666666666666,0.0,"11,254",-8.612185522228168,369768949,4.806620157800864e-05,3
대구 수성구 범어동 2207,수성구,범어동,0.04,1,35.86191968,128.6226071,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"16,635",-16.130476459668056,4185145894,4.15524319777118e-05,0
대구 북구 복현동 539-7,북구,복현동,1.8,2,35.90091183,128.6156965,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"7,438",-16.017041565268958,4634458100,4.253451828973219e-05,0
대구 수성구 범어동 1005-27,수성구,범어동,0.04,1,35.86749689,128.6207142,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"16,635",-16.130476459668056,3793705754,4.3541303355392566e-05,0
대구 동구 효목동 172-1,동구,효목동,0.04,4,35.88107677,128.6467797,2022,1,6,7.4,-50.0,-1.2583333333333333,69.0,-1.0,40.0,-1.0,"13,578",-14.964308054112257,6111842890,4.083769265006958e-05,0
대구 북구 복현동 623,북구,복현동,0.04,2,35.89457592,128.6188224,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"7,438",-15.999401949356942,436666377,3.72583118420778e-05,0
대구 동구 신서동 525-29,동구,신서동,0.02,4,35.86627981,128.7247826,2022,1,6,7.4,-50.0,-1.2583333333333333,69.0,-1.0,40.0,-1.0,"18,667",-15.014092038474704,436776081,5.472776667827816e-05,3
대구 동구 신천동 743,동구,신천동,0.04,4,35.87279857,128.6269191,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"12,846",-15.971037466168172,3730235541,4.560360277361251e-05,0
대구 달서구 송현동 2041,달서구,송현동,0.04,1,35.82672681,128.5480805,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"19,244",-15.83439572406268,4488694240,3.4600695614777945e-05,0
대구 달서구 장기동 810-2,달서구,장기동,0.2,1,35.84741892,128.5278146,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"17,070",-15.814646179371072,7485008164,6.631718562090722e-05,3
대구 남구 대명동 224,남구,대명동,0.09,1,35.84493042,128.5896219,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"11,254",-16.078125110709152,7710282445,3.584057862311212e-05,0
대구 달서구 유천동 120-7,달서구,유천동,0.04,1,35.81353547,128.5189711,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"32,710",-15.96665950782366,4945361323,1.6061122735100536e-05,0
대구 달서구 월성동 363,달서구,월성동,0.04,2,35.82929684,128.5335166,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"37,186",-15.969881946522197,8340763081,4.265344567648554e-05,0
대구 달서구 두류동 1290-2,달서구,두류동,0.06,1,35.85469377,128.5494205,2022,1,6,7.2,-50.0,-0.4958333333333333,60.0,-1.0,32.458333333333336,-1.0,"14,266",-16.10740846311415,3141943765,2.7373682629421966e-05,0
대구 서구 비산동 28-4,서구,비산동,0.06,2,35.87913709,128.5737942,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"9,651",-15.6996321304132,1748094984,3.693672274134541e-05,0
대구 달서구 본동 606-1,달서구,본동,0.06,2,35.83546244,128.5306633,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"12,225",-15.724914098287906,11634027878,4.107032053579079e-05,0
대구 달서구 월성동 279,달서구,월성동,0.16,1,35.83001511,128.531365,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"37,186",-16.011825724140575,436810863,5.4769216169197855e-05,3
대구 서구 평리동 1650,서구,평리동,0.15,1,35.87358713,128.5487546,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"7,767",-15.722770482381195,11468926231,3.8102676755170054e-05,0
대구 달서구 송현동 2041,달서구,송현동,0.4,1,35.82672681,128.5480805,2022,1,6,6.6,-50.0,-1.275,64.0,-1.0,36.375,-1.0,"19,244",-15.83800382731741,4488694240,3.4600695614777945e-05,0
대구 수성구 범어동 835,수성구,범어동,0.04,4,35.85892157,128.6354726,2022,1,7,7.5,-3.9,1.0291666666666666,47.0,15.0,33.0,0.0,"16,635",-11.189125507245633,3781617599,3.911931173011105e-05,0
대구 북구 연경동 980,북구,연경동,0.6,1,35.94093676,128.6132562,2022,1,7,8.9,-6.7,-0.6583333333333333,55.0,4.0,32.791666666666664,0.0,"36,344",-12.13912540460058,7021064798,4.2817161025089455e-05,0
대구 수성구 범어동 835,수성구,범어동,0.04,6,35.85892157,128.6354726,2022,1,7,7.5,-3.9,1.0291666666666666,47.0,15.0,33.0,0.0,"16,635",-11.107643354178697,3781617599,3.911931173011105e-05,0
대구 수성구 황금동 908,수성구,황금동,0.04,2,35.84302839,128.6243968,2022,1,7,8.3,-6.0,0.0916666666666666,66.0,16.0,41.208333333333336,0.0,"23,678",-9.725904521276266,3076899762,4.471796769359699e-05,0
대구 수성구 만촌동 1320,수성구,만촌동,0.09,1,35.85848182,128.646974,2022,1,7,8.3,-6.0,0.0916666666666666,66.0,16.0,41.208333333333336,0.0,"22,696",-9.757501465898546,3781815471,2.3804688800930163e-05,0
대구 북구 침산동 635-2,북구,침산동,0.04,2,35.90019638,128.5918589,2022,1,7,7.5,-3.9,1.0291666666666666,47.0,15.0,33.0,0.0,"4,058",-11.14707568286107,699850066,2.9798397612189808e-05,0
대구 동구 신천동 741,동구,신천동,0.1,2,35.87217211,128.6215206,2022,1,7,7.5,-3.9,1.0291666666666666,47.0,15.0,33.0,0.0,"12,846",-11.233993246955546,3792817436,5.0675763551516554e-05,3
대구 달서구 월성동 89-3,달서구,월성동,0.09,1,35.82678447,128.5308902,2022,1,7,7.9,-3.4,1.2041666666666668,53.0,17.0,36.375,0.0,"37,186",-10.625035937705102,436866575,5.533971053127369e-05,3
대구 달서구 대천동 791-1,달서구,대천동,0.09,1,35.82168724,128.4927247,2022,1,7,7.9,-3.4,1.2041666666666668,53.0,17.0,36.375,0.0,"37,186",-10.625035937705102,5592642844,4.206673434888934e-05,0
대구 남구 대명동 1291,남구,대명동,0.04,2,35.83957194,128.5786577,2022,1,7,7.5,-3.9,1.0291666666666666,47.0,15.0,33.0,0.0,"11,254",-11.217755185901618,1697029753,3.6824502389088764e-05,0
대구 서구 비산동 2007-96,서구,비산동,0.04,2,35.89117295,128.5437219,2022,1,7,7.9,-3.4,1.2041666666666668,53.0,17.0,36.375,0.0,"9,651",-10.313343469429771,2607832902,5.312525967206436e-05,3
대구 달서구 용산동 607-1,달서구,용산동,0.06,1,35.85443506,128.5231147,2022,1,7,7.9,-3.4,1.2041666666666668,53.0,17.0,36.375,0.0,"30,837",-10.562375039420472,11428271164,4.03260155355091e-05,0
대구 동구 지저동 333-2,동구,지저동,0.04,1,35.90344009,128.6379391,2022,1,8,8.3,-1.8,2.4833333333333334,80.0,23.0,52.75,0.0,"14,378",-6.697600923072459,1874266897,5.380043074598776e-05,3
대구 동구 지묘동 산 5-1,동구,지묘동,0.16,1,35.95071182,128.6491676,2022,1,8,7.6,-3.5,1.6666666666666667,84.0,22.0,55.875,0.0,"21,639",-6.748887018847199,7676080441,2.9342819923660327e-05,0
대구 동구 지묘동 644-3,동구,지묘동,0.08,2,35.96102792,128.6315929,2022,1,8,7.6,-3.5,1.6666666666666667,84.0,22.0,55.875,0.0,"21,639",-6.7073441415904576,1934303208,1.6201476611556417e-05,0
대구 동구 지저동 212-8,동구,지저동,0.3,2,35.90674267,128.6405648,2022,1,8,8.3,-1.8,2.4833333333333334,80.0,23.0,52.75,0.0,"14,378",-6.65946569888963,5943585135,1.9759114710058948e-05,0
대구 동구 지묘동 1257,동구,지묘동,0.12,1,35.95286854,128.6338285,2022,1,8,7.6,-3.5,1.6666666666666667,84.0,22.0,55.875,0.0,"21,639",-6.7484861184855625,6961268607,1.794159792300741e-05,0
대구 달서구 월성동 1787,달서구,월성동,0.08,1,35.83654494,128.5201841,2022,1,8,7.5,-1.7,2.595833333333333,77.0,22.0,50.375,0.0,"37,186",-7.438502049396522,4666441280,4.373113109355679e-05,0
대구 북구 관음동 1368,북구,관음동,0.04,1,35.93659333,128.5413006,2022,1,9,8.9,-4.0,1.5,83.0,33.0,60.91666666666666,0.0,"16,371",-5.497455805205569,421777493,5.37477546600619e-05,3
대구 동구 각산동 301-14,동구,각산동,0.02,3,35.86641343,128.719222,2022,1,9,8.5,-4.3,1.6625000000000003,93.0,45.0,71.20833333333333,0.0,"18,667",-3.2750825391755374,436666460,5.600353097869594e-05,3
